client,project,amount,status,date,rating
Сергей,Парсинг сайта,75000,завершён,2025-12-18,5
Дмитрий,Визуализация данных,25000,завершён,2025-12-15,3
Ольга,Отчёт для инвесторов,50000,завершён,2025-10-20,5
Евгений,Прогноз оттока,50000,оплачен,2025-10-21,4
Дмитрий,Анализ продаж,50000,в работе,2025-12-01,1
Павел,Дата-аудит,50000,оплачен,2026-02-13,3
Наталья,Визуализация данных,50000,завершён,2025-10-20,5
Александр,Визуализация данных,75000,завершён,2026-02-10,4
Иван,Дашборд для CEO,25000,завершён,2026-01-06,2
Мария,Визуализация данных,50000,завершён,2025-09-06,3
Юлия,Анализ продаж,50000,завершён,2025-10-19,2
Юлия,ETL пайплайн,100000,завершён,2026-01-05,5
Артём,Дашборд для CEO,25000,завершён,2026-02-14,4
Иван,Прогноз оттока,75000,завершён,2025-12-08,5
Ольга,Дата-аудит,15000,завершён,2025-10-27,5
Иван,Анализ продаж,15000,оплачен,2025-12-02,1
Наталья,Прогноз оттока,35000,завершён,2025-10-15,3
Александр,Анализ продаж,35000,завершён,2026-01-18,4
Сергей,A/B тест анализ,50000,завершён,2026-01-11,5
Александр,Прогноз оттока,100000,в работе,2025-11-19,3
Анна,Отчёт для инвесторов,25000,завершён,2025-10-09,3
Иван,Дата-аудит,25000,завершён,2025-09-02,1
Мария,Парсинг сайта,100000,завершён,2025-10-08,3
Алексей,Парсинг сайта,75000,завершён,2025-12-04,4
Евгений,Дата-аудит,75000,завершён,2025-10-17,4
Наталья,Парсинг сайта,100000,в работе,2025-10-23,2
Сергей,A/B тест анализ,100000,завершён,2025-10-30,3
Юлия,A/B тест анализ,50000,завершён,2026-02-25,3
Иван,Отчёт для инвесторов,15000,завершён,2025-09-09,3
Елена,Прогноз оттока,15000,завершён,2025-12-28,1
Татьяна,Парсинг сайта,50000,завершён,2025-10-21,3
Анна,Отчёт для инвесторов,15000,оплачен,2025-11-07,2
Евгений,ETL пайплайн,75000,завершён,2025-10-22,3
Юлия,Дашборд для CEO,75000,завершён,2025-09-21,4
Сергей,Прогноз оттока,35000,завершён,2026-01-21,5
Мария,Дашборд для CEO,100000,завершён,2025-10-07,1
Иван,ETL пайплайн,75000,в работе,2025-09-17,3
Татьяна,SQL оптимизация,35000,завершён,2026-01-07,1
Анна,Прогноз оттока,25000,в работе,2026-02-17,4
Иван,A/B тест анализ,25000,оплачен,2026-01-17,3
Сергей,Дата-аудит,15000,завершён,2025-11-07,2
Анна,Отчёт для инвесторов,75000,в работе,2026-02-19,1
Александр,SQL оптимизация,35000,в работе,2026-01-05,1
Ольга,Парсинг сайта,35000,оплачен,2025-09-17,4
Юлия,SQL оптимизация,100000,оплачен,2025-09-28,5
Евгений,Дашборд для CEO,25000,в работе,2025-09-12,4
Анна,Парсинг сайта,15000,завершён,2026-01-11,4
Ольга,Прогноз оттока,35000,в работе,2026-01-26,4
Павел,SQL оптимизация,100000,завершён,2025-09-23,5
Александр,ETL пайплайн,35000,завершён,2026-02-07,1
